ANT1,19.81,-2.54,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,12.89,0.24,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-10.62,-0.07,0.00,10uF,PERFECT_0402_0402
C10,12.27,-0.51,180.00,N.C,NORDIC_NRF_3_RESC0201_L
C11,12.89,1.00,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,10.49,1.37,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,9.36,2.96,90.00,N.C,NORDIC_NRF_3_RESC0201_L
C14,4.00,1.18,180.00,4.7µF,PERFECT_0402_0402
C15,7.32,3.25,90.00,1.0µF,PERFECT_0402_0402
C16,8.30,2.98,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,3.72,-0.99,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,3.71,-1.80,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-11.20,11.35,0.00,100nF,GRM011R60J152KE01L_2_CAPC0201X13N
C2,12.88,1.74,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR1,-4.59,-3.41,90.00,4.7uF/25V,PERFECT_0402_0402
C20,1.73,-7.11,180.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,5.47,-7.31,270.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,13.68,-3.25,0.00,,NORDIC_NRF_3_RESC0201_L
C23,12.49,12.89,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,11.45,14.32,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,16.09,12.57,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,12.64,8.89,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C29,-12.86,-10.87,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,12.35,-2.34,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,9.59,-10.95,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C31,-1.47,-10.86,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C32,-19.45,15.24,180.00,1uF,PERFECT_0402_0402
